Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
12,on1,M0MDN3-CWAF22,M0MDN3-CWAF19_200728_090647_s0a0_p6-0,-14.49663644400407,-19.071762525063306,-7.711852555629202
13,on1,M0MDN3-CWAF22,M0MDN3-CWAF19_200714_084831_s0a0_p6-0,-29.60662046320203,-4.505246269761792,-10.030091824510542
14,on1,M0MDN3-CWAF22,M0MDN3-CWAF19_200811_091309_s0a0_p6-0,-20.29973028507756,-8.601855259559876,-4.211646527485666
15,on1,M0MDN3-CWAF22,M0MDN3-CWAF6_200702_100802_s0a0_p6-0,-0.25880475301846356,-0.27550630627070327,-0.7202667425614873
16,on1,M0MDN3-CWAF22,M0MDN3-CWAF6_200730_092339_s0a0_p6-0,-5.475372745364413,-2.1990054561708727,-2.1998588069479363
17,on1,M0MDN3-CWAF22,M0MDN3-CWAF6_200717_090045_s0a0_p6-0,,,
18,on1,M0MDN3-CWAF22,M0MDN3-CWAF1_200724_092007_s0a0_p6-0,0.0,-0.005955446824641812,-0.47643574597150745
19,on1,M0MDN3-CWAF22,M0MDN3-CWAF1_200626_103701_s0a0_p6-0,-38.37763630335396,-16.72682348844858,-11.445705978427009
20,on1,M0MDN3-CWAF22,M0MDN3-CWAF1_200710_104145_s0a0_p6-0,-58.913628493672576,-15.589062328663989,-13.218243819148329
21,on1,M0MDN3-CWAF22,M0MDN3-CWAF31_200806_100501_s0a0_p6-0,-49.9500427008495,-18.34790716887545,-9.122622006868639
22,on1,M0MDN3-CWAF22,M0MDN3-CWAF31_200724_141104_s0a0_p6-0,-6.939350457097315,-4.801277259794058,-4.419177791492167
23,on1,M0MDN3-CWAF22,M0MDN3-CWAF31_200820_091206_s0a0_p6-0,-16.698770777641386,-6.081481750825365,-5.539996766681255
24,on1,M0MDN3-CWAF22,M0MDN3-CWAF14_200724_095829_s0a0_p6-0,-31.840940613535302,-0.48880409621086585,-5.38295132311128
25,on1,M0MDN3-CWAF22,M0MDN3-CWAF14_200710_121305_s0a0_p6-0,-93.72095547191525,-14.583136054830462,-10.707268534280548
26,on1,M0MDN3-CWAF22,M0MDN3-CWAF14_200806_090201_s0a0_p6-0,,,
27,on1,M0MDN3-CWAF22,M0MDN3-CWAF39_200807_094800_s0a0_p6-0,,,
28,on1,M0MDN3-CWAF22,M0MDN3-CWAF39_200724_112912_s0a0_p6-0,-20.0153198716739,-2.0308699479408467,-6.959595069238468
29,on1,M0MDN3-CWAF22,M0MDN3-CWAF8_200702_105340_s0a0_p6-0,-152.93544071915136,-23.82137202997254,-15.511067036646658
30,on1,M0MDN3-CWAF22,M0MDN3-CWAF8_200730_094325_s0a0_p6-0,-48.205417004201074,-9.78482941761109,-10.742477858440905
31,on1,M0MDN3-CWAF22,M0MDN3-CWAF8_200717_091659_s0a0_p6-0,-7.765167405891901,-0.9361127452451206,-3.7483292165254185
32,on1,M0MDN3-CWAF22,M0MDN3-CWAF35_200820_100101_s0a0_p6-0,-32.050909849122384,-0.13566803801464222,-3.2962706740181096
33,on1,M0MDN3-CWAF22,M0MDN3-CWAF35_200807_090702_s0a0_p6-0,-56.648691212849606,-8.507354225533533,-9.87375285997882
34,on1,M0MDN3-CWAF22,M0MDN3-CWAF35_200724_125800_s0a0_p6-0,-23.89803754213383,-21.474501301379114,-10.661493956753409
